,Precio Total (EUR),Aerolínea,Origen,Destino,Salida,Llegada,Duración
77,2255.60,AF,MAD,AMS,2024-10-30T13:00:00,2024-10-30T15:40:00,PT4H40M
78,2255.60,AF,MAD,AMS,2024-10-30T16:50:00,2024-10-30T19:35:00,PT5H20M
79,2255.60,AF,MAD,AMS,2024-10-30T11:00:00,2024-10-30T13:35:00,PT6H40M
80,2255.60,AF,MAD,AMS,2024-10-30T06:00:00,2024-10-30T08:40:00,PT7H25M
81,2415.60,AF,MAD,CDG,2024-10-30T06:00:00,2024-10-30T08:20:00,PT5H20M
82,2417.10,AF,MAD,AMS,2024-10-30T11:00:00,2024-10-30T13:35:00,PT4H40M
83,2417.10,AF,MAD,AMS,2024-10-30T06:00:00,2024-10-30T08:40:00,PT5H5M
84,2419.10,AF,MAD,CDG,2024-10-30T06:00:00,2024-10-30T08:20:00,PT5H20M
85,2420.60,AF,MAD,AMS,2024-10-30T11:00:00,2024-10-30T13:35:00,PT4H40M
86,2420.60,AF,MAD,AMS,2024-10-30T06:00:00,2024-10-30T08:40:00,PT5H5M
87,2445.60,AF,MAD,CDG,2024-10-30T06:00:00,2024-10-30T08:20:00,PT8H45M
88,2445.60,AF,MAD,CDG,2024-10-30T06:00:00,2024-10-30T08:20:00,PT8H45M
89,2445.60,AF,MAD,CDG,2024-10-30T12:25:00,2024-10-30T14:35:00,PT5H55M
90,2447.10,AF,MAD,AMS,2024-10-30T13:00:00,2024-10-30T15:40:00,PT4H40M
91,2447.10,AF,MAD,AMS,2024-10-30T16:50:00,2024-10-30T19:35:00,PT5H20M
92,2447.10,AF,MAD,AMS,2024-10-30T11:00:00,2024-10-30T13:35:00,PT6H40M
93,2447.10,AF,MAD,AMS,2024-10-30T13:00:00,2024-10-30T15:40:00,PT4H40M
94,2447.10,AF,MAD,AMS,2024-10-30T06:00:00,2024-10-30T08:40:00,PT7H25M
95,2447.10,AF,MAD,AMS,2024-10-30T16:50:00,2024-10-30T19:35:00,PT5H20M
96,2447.10,AF,MAD,AMS,2024-10-30T11:00:00,2024-10-30T13:35:00,PT6H40M
97,2447.10,AF,MAD,AMS,2024-10-30T06:00:00,2024-10-30T08:40:00,PT7H25M
98,2449.10,AF,MAD,CDG,2024-10-30T12:25:00,2024-10-30T14:35:00,PT5H55M
99,2449.10,AF,MAD,CDG,2024-10-30T12:25:00,2024-10-30T14:35:00,PT5H55M
100,2449.10,AF,MAD,CDG,2024-10-30T12:25:00,2024-10-30T14:35:00,PT5H55M
101,2449.10,AF,MAD,CDG,2024-10-30T12:25:00,2024-10-30T14:35:00,PT5H55M
102,2449.10,AF,MAD,CDG,2024-10-30T12:25:00,2024-10-30T14:35:00,PT5H55M
103,2610.60,AF,MAD,CDG,2024-10-30T06:00:00,2024-10-30T08:20:00,PT5H20M
104,2610.60,AF,MAD,CDG,2024-10-30T06:00:00,2024-10-30T08:20:00,PT5H20M
105,2610.60,AF,MAD,CDG,2024-10-30T12:25:00,2024-10-30T14:35:00,PT5H55M
106,2612.10,AF,MAD,AMS,2024-10-30T11:00:00,2024-10-30T13:35:00,PT4H40M
107,2612.10,AF,MAD,AMS,2024-10-30T11:00:00,2024-10-30T13:35:00,PT4H40M
108,2612.10,AF,MAD,AMS,2024-10-30T06:00:00,2024-10-30T08:40:00,PT5H5M
109,2612.10,AF,MAD,AMS,2024-10-30T06:00:00,2024-10-30T08:40:00,PT5H5M
110,2614.10,AF,MAD,CDG,2024-10-30T12:25:00,2024-10-30T14:35:00,PT5H55M
111,2638.60,UX,MAD,AMS,2024-10-30T13:00:00,2024-10-30T15:40:00,PT9H10M
112,2670.60,AF,MAD,CDG,2024-10-30T06:00:00,2024-10-30T08:20:00,PT8H45M
113,2670.60,AF,MAD,CDG,2024-10-30T06:00:00,2024-10-30T08:20:00,PT8H45M
114,2672.10,AF,MAD,AMS,2024-10-30T13:00:00,2024-10-30T15:40:00,PT4H40M
115,2672.10,AF,MAD,AMS,2024-10-30T16:50:00,2024-10-30T19:35:00,PT5H20M
116,2672.10,AF,MAD,AMS,2024-10-30T13:00:00,2024-10-30T15:40:00,PT4H40M
117,2672.10,AF,MAD,AMS,2024-10-30T11:00:00,2024-10-30T13:35:00,PT6H40M
118,2672.10,AF,MAD,AMS,2024-10-30T16:50:00,2024-10-30T19:35:00,PT5H20M
119,2672.10,AF,MAD,AMS,2024-10-30T06:00:00,2024-10-30T08:40:00,PT7H25M
120,2672.10,AF,MAD,AMS,2024-10-30T11:00:00,2024-10-30T13:35:00,PT6H40M
121,2672.10,AF,MAD,AMS,2024-10-30T06:00:00,2024-10-30T08:40:00,PT7H25M
122,2672.10,AF,MAD,AMS,2024-10-30T13:00:00,2024-10-30T15:40:00,PT7H50M
123,2675.60,AF,MAD,AMS,2024-10-30T13:00:00,2024-10-30T15:40:00,PT7H50M
124,2675.60,AF,MAD,AMS,2024-10-30T13:00:00,2024-10-30T15:40:00,PT7H50M
125,2675.60,AF,MAD,AMS,2024-10-30T13:00:00,2024-10-30T15:40:00,PT7H50M
126,2675.60,AF,MAD,AMS,2024-10-30T13:00:00,2024-10-30T15:40:00,PT7H50M
127,2675.60,AF,MAD,AMS,2024-10-30T13:00:00,2024-10-30T15:40:00,PT7H50M
128,2753.60,UX,MAD,AMS,2024-10-30T13:00:00,2024-10-30T15:40:00,PT9H10M
129,2755.60,UX,MAD,AMS,2024-10-30T13:00:00,2024-10-30T15:40:00,PT9H10M
130,2800.60,AF,MAD,CDG,2024-10-30T12:25:00,2024-10-30T14:35:00,PT5H55M
131,2800.60,AF,MAD,CDG,2024-10-30T12:25:00,2024-10-30T14:35:00,PT5H55M
132,2835.60,AF,MAD,CDG,2024-10-30T06:00:00,2024-10-30T08:20:00,PT5H20M
133,2835.60,AF,MAD,CDG,2024-10-30T06:00:00,2024-10-30T08:20:00,PT5H20M
134,2837.10,AF,MAD,AMS,2024-10-30T11:00:00,2024-10-30T13:35:00,PT4H40M
135,2837.10,AF,MAD,AMS,2024-10-30T11:00:00,2024-10-30T13:35:00,PT4H40M
136,2837.10,AF,MAD,AMS,2024-10-30T06:00:00,2024-10-30T08:40:00,PT5H5M
137,2837.10,AF,MAD,AMS,2024-10-30T06:00:00,2024-10-30T08:40:00,PT5H5M
138,2837.10,AF,MAD,AMS,2024-10-30T13:00:00,2024-10-30T15:40:00,PT7H50M
139,2840.60,AF,MAD,AMS,2024-10-30T13:00:00,2024-10-30T15:40:00,PT7H50M
140,2945.60,AF,MAD,CDG,2024-10-30T17:55:00,2024-10-30T20:05:00,PT4H45M
141,2945.60,AF,MAD,CDG,2024-10-30T16:20:00,2024-10-30T18:30:00,PT6H20M
142,2949.10,AF,MAD,CDG,2024-10-30T17:55:00,2024-10-30T20:05:00,PT4H45M
143,2949.10,AF,MAD,CDG,2024-10-30T17:55:00,2024-10-30T20:05:00,PT4H45M
144,2949.10,AF,MAD,CDG,2024-10-30T17:55:00,2024-10-30T20:05:00,PT4H45M
145,2949.10,AF,MAD,CDG,2024-10-30T17:55:00,2024-10-30T20:05:00,PT4H45M
146,2949.10,AF,MAD,CDG,2024-10-30T16:20:00,2024-10-30T18:30:00,PT6H20M
147,2949.10,AF,MAD,CDG,2024-10-30T16:20:00,2024-10-30T18:30:00,PT6H20M
148,2949.10,AF,MAD,CDG,2024-10-30T17:55:00,2024-10-30T20:05:00,PT4H45M
149,2949.10,AF,MAD,CDG,2024-10-30T16:20:00,2024-10-30T18:30:00,PT6H20M
150,2949.10,AF,MAD,CDG,2024-10-30T16:20:00,2024-10-30T18:30:00,PT6H20M
151,2949.10,AF,MAD,CDG,2024-10-30T16:20:00,2024-10-30T18:30:00,PT6H20M
152,3025.60,AF,MAD,CDG,2024-10-30T12:25:00,2024-10-30T14:35:00,PT5H55M
153,3025.60,AF,MAD,CDG,2024-10-30T12:25:00,2024-10-30T14:35:00,PT5H55M
154,3027.10,AF,MAD,AMS,2024-10-30T13:00:00,2024-10-30T15:40:00,PT7H50M
155,3027.10,AF,MAD,AMS,2024-10-30T13:00:00,2024-10-30T15:40:00,PT7H50M
156,3094.20,SN,MAD,BRU,2024-10-30T06:25:00,2024-10-30T08:50:00,PT4H40M
157,3094.20,SN,MAD,BRU,2024-10-30T17:35:00,2024-10-30T19:55:00,PT4H45M
158,3094.20,SN,MAD,BRU,2024-10-30T06:25:00,2024-10-30T08:50:00,PT4H40M
159,3094.20,SN,MAD,BRU,2024-10-30T06:25:00,2024-10-30T08:50:00,PT4H40M
160,3094.20,SN,MAD,BRU,2024-10-30T17:35:00,2024-10-30T19:55:00,PT4H45M
161,3094.20,SN,MAD,BRU,2024-10-30T17:35:00,2024-10-30T19:55:00,PT4H45M
162,3094.20,SN,MAD,BRU,2024-10-30T12:35:00,2024-10-30T14:55:00,PT5H10M
163,3094.20,SN,MAD,BRU,2024-10-30T12:35:00,2024-10-30T14:55:00,PT5H10M
164,3094.20,SN,MAD,BRU,2024-10-30T12:35:00,2024-10-30T14:55:00,PT5H10M
165,3094.20,SN,MAD,BRU,2024-10-30T12:35:00,2024-10-30T14:55:00,PT7H35M
166,3094.20,SN,MAD,BRU,2024-10-30T06:25:00,2024-10-30T08:50:00,PT4H40M
167,3094.20,SN,MAD,BRU,2024-10-30T17:35:00,2024-10-30T19:55:00,PT4H45M
168,3094.20,SN,MAD,BRU,2024-10-30T12:35:00,2024-10-30T14:55:00,PT7H35M
169,3094.20,SN,MAD,BRU,2024-10-30T12:35:00,2024-10-30T14:55:00,PT7H35M
170,3094.20,SN,MAD,BRU,2024-10-30T12:35:00,2024-10-30T14:55:00,PT5H10M
171,3094.20,SN,MAD,BRU,2024-10-30T12:35:00,2024-10-30T14:55:00,PT7H35M
172,3096.10,IB,MAD,BER,2024-10-30T15:55:00,2024-10-30T19:00:00,PT3H5M
173,3096.10,IB,MAD,BER,2024-10-30T20:05:00,2024-10-30T23:10:00,PT3H5M
174,3096.65,LX,MAD,ZRH,2024-10-30T10:05:00,2024-10-30T12:20:00,PT4H50M
175,3096.65,LX,MAD,ZRH,2024-10-30T10:05:00,2024-10-30T12:20:00,PT4H50M
176,3096.65,LX,MAD,ZRH,2024-10-30T10:05:00,2024-10-30T12:20:00,PT4H50M
177,3096.65,LX,MAD,ZRH,2024-10-30T10:05:00,2024-10-30T12:20:00,PT7H45M
178,3099.10,LX,MAD,ZRH,2024-10-30T10:05:00,2024-10-30T12:20:00,PT4H50M
179,3201.10,IB,MAD,BER,2024-10-30T15:55:00,2024-10-30T19:00:00,PT3H5M
180,3201.10,IB,MAD,BER,2024-10-30T20:05:00,2024-10-30T23:10:00,PT3H5M
181,3649.40,JU,MAD,BEG,2024-10-30T18:30:00,2024-10-30T21:40:00,PT14H10M
182,4388.00,A3,MAD,ATH,2024-10-30T13:05:00,2024-10-30T17:30:00,PT21H40M
183,4559.30,SK,MAD,CPH,2024-10-30T20:00:00,2024-10-30T23:00:00,PT13H40M
