,Precio Total (EUR),Aerolínea,Origen,Destino,Salida,Llegada,Duración
152,2839.10,AF,BER,CDG,2024-11-01T12:20:00,2024-11-01T14:10:00,PT4H40M
153,2841.10,IB,BER,MAD,2024-11-01T07:00:00,2024-11-01T10:15:00,PT3H15M
154,2949.10,AF,BER,AMS,2024-11-01T06:00:00,2024-11-01T07:25:00,PT6H5M
155,2949.10,AF,BER,AMS,2024-11-01T06:00:00,2024-11-01T07:25:00,PT6H15M
156,2955.60,AF,BER,AMS,2024-11-01T06:00:00,2024-11-01T07:25:00,PT6H5M
157,2955.60,AF,BER,AMS,2024-11-01T06:00:00,2024-11-01T07:25:00,PT6H15M
158,3025.60,AF,BER,CDG,2024-11-01T09:55:00,2024-11-01T11:50:00,PT5H30M
159,3250.60,AF,BER,CDG,2024-11-01T09:55:00,2024-11-01T11:50:00,PT5H30M
160,10491.15,AF,BER,BRU,2024-11-01T07:10:00,2024-11-01T08:45:00,PT4H35M
161,10491.15,AF,BER,BRU,2024-11-01T07:10:00,2024-11-01T08:45:00,PT4H35M
162,10491.15,AF,BER,BRU,2024-11-01T07:10:00,2024-11-01T08:45:00,PT7H35M
163,10491.15,AF,BER,CDG,2024-11-01T09:55:00,2024-11-01T11:50:00,PT5H30M
164,10491.15,AF,BER,CDG,2024-11-01T06:55:00,2024-11-01T08:50:00,PT8H30M
165,10512.55,AF,BER,MUC,2024-11-01T06:15:00,2024-11-01T07:25:00,PT5H5M
166,10512.55,AF,BER,MUC,2024-11-01T06:15:00,2024-11-01T07:25:00,PT5H5M
167,10512.55,AF,BER,CDG,2024-11-01T12:20:00,2024-11-01T14:10:00,PT4H40M
168,10512.55,AF,BER,CDG,2024-11-01T09:55:00,2024-11-01T11:50:00,PT5H30M
169,10512.55,AF,BER,CDG,2024-11-01T09:55:00,2024-11-01T11:50:00,PT5H30M
170,10512.55,AF,BER,CDG,2024-11-01T09:55:00,2024-11-01T11:50:00,PT7H5M
171,10512.55,AF,BER,CDG,2024-11-01T06:55:00,2024-11-01T08:50:00,PT8H30M
172,10512.55,AF,BER,CDG,2024-11-01T06:55:00,2024-11-01T08:50:00,PT8H30M
173,10550.00,AF,BER,FRA,2024-11-01T06:25:00,2024-11-01T07:40:00,PT3H5M
174,10551.60,AF,BER,FRA,2024-11-01T06:25:00,2024-11-01T07:40:00,PT3H5M
175,10551.60,AF,BER,FRA,2024-11-01T07:40:00,2024-11-01T08:55:00,PT3H20M
176,10551.60,AF,BER,FRA,2024-11-01T07:10:00,2024-11-01T08:25:00,PT3H50M
177,10551.60,AF,BER,FRA,2024-11-01T06:25:00,2024-11-01T07:40:00,PT4H35M
178,10551.60,AF,BER,FRA,2024-11-01T06:25:00,2024-11-01T07:40:00,PT3H5M
179,10551.60,AF,BER,FRA,2024-11-01T07:40:00,2024-11-01T08:55:00,PT3H20M
180,10551.60,AF,BER,FRA,2024-11-01T07:40:00,2024-11-01T08:55:00,PT5H5M
181,10551.60,AF,BER,FRA,2024-11-01T07:10:00,2024-11-01T08:25:00,PT3H50M
182,10551.60,AF,BER,FRA,2024-11-01T07:10:00,2024-11-01T08:25:00,PT5H35M
183,10551.60,AF,BER,FRA,2024-11-01T06:25:00,2024-11-01T07:40:00,PT4H35M
184,10551.60,AF,BER,FRA,2024-11-01T07:40:00,2024-11-01T08:55:00,PT5H5M
185,10551.60,AF,BER,FRA,2024-11-01T07:10:00,2024-11-01T08:25:00,PT5H35M
