,Precio Total (EUR),Aerolínea,Origen,Destino,Salida,Llegada,Duración
112,2487.30,OS,VIE,MUC,2024-11-01T06:55:00,2024-11-01T07:55:00,PT4H25M
113,2504.55,SN,VIE,BRU,2024-11-01T09:10:00,2024-11-01T11:00:00,PT5H35M
114,2504.55,SN,VIE,BRU,2024-11-01T07:20:00,2024-11-01T09:05:00,PT7H25M
115,2504.55,SN,VIE,BRU,2024-11-01T09:10:00,2024-11-01T11:00:00,PT5H35M
116,2504.55,SN,VIE,BRU,2024-11-01T07:20:00,2024-11-01T09:05:00,PT7H25M
117,2514.90,SN,VIE,BRU,2024-11-01T09:10:00,2024-11-01T11:00:00,PT5H35M
118,2514.90,SN,VIE,BRU,2024-11-01T07:20:00,2024-11-01T09:05:00,PT7H25M
119,2516.35,LH,VIE,FRA,2024-11-01T07:00:00,2024-11-01T08:30:00,PT4H
120,2519.90,SN,VIE,BRU,2024-11-01T09:10:00,2024-11-01T11:00:00,PT5H35M
121,2519.90,SN,VIE,BRU,2024-11-01T07:20:00,2024-11-01T09:05:00,PT7H25M
122,2521.35,LH,VIE,FRA,2024-11-01T07:00:00,2024-11-01T08:30:00,PT4H
123,2585.35,AF,VIE,AMS,2024-11-01T06:55:00,2024-11-01T09:00:00,PT5H20M
124,2585.35,AF,VIE,CDG,2024-11-01T06:15:00,2024-11-01T08:30:00,PT5H15M
125,2585.35,AF,VIE,CDG,2024-11-01T06:15:00,2024-11-01T08:30:00,PT5H15M
126,2585.35,AF,VIE,CDG,2024-11-01T09:40:00,2024-11-01T11:50:00,PT5H45M
127,2591.85,AF,VIE,AMS,2024-11-01T06:55:00,2024-11-01T09:00:00,PT5H20M
128,2756.85,AF,VIE,CDG,2024-11-01T06:15:00,2024-11-01T08:30:00,PT9H10M
129,2763.35,AF,VIE,CDG,2024-11-01T06:15:00,2024-11-01T08:30:00,PT9H10M
130,2825.35,AF,VIE,AMS,2024-11-01T06:55:00,2024-11-01T09:00:00,PT5H20M
131,2961.85,AF,VIE,CDG,2024-11-01T06:15:00,2024-11-01T08:30:00,PT5H15M
132,2961.85,AF,VIE,CDG,2024-11-01T09:40:00,2024-11-01T11:50:00,PT5H45M
133,2968.35,AF,VIE,CDG,2024-11-01T06:15:00,2024-11-01T08:30:00,PT5H15M
134,2968.35,AF,VIE,CDG,2024-11-01T09:40:00,2024-11-01T11:50:00,PT5H45M
135,3201.85,AF,VIE,CDG,2024-11-01T06:15:00,2024-11-01T08:30:00,PT5H15M
136,3320.90,LH,VIE,MUC,2024-11-01T06:55:00,2024-11-01T07:55:00,PT4H25M
137,3320.90,LH,VIE,MUC,2024-11-01T12:55:00,2024-11-01T13:55:00,PT4H50M
138,3320.90,LH,VIE,MUC,2024-11-01T09:25:00,2024-11-01T10:25:00,PT8H20M
139,3324.50,SN,VIE,BRU,2024-11-01T09:10:00,2024-11-01T11:00:00,PT7H35M
140,3324.50,SN,VIE,BRU,2024-11-01T07:20:00,2024-11-01T09:05:00,PT9H25M
141,3325.90,OS,VIE,MUC,2024-11-01T06:55:00,2024-11-01T07:55:00,PT4H25M
142,3325.90,OS,VIE,MUC,2024-11-01T12:55:00,2024-11-01T13:55:00,PT4H45M
