,Precio Total (EUR),Aerolínea,Origen,Destino,Salida,Llegada,Duración
14,2466.1,IB,BER,MAD,2024-11-01T07:00:00,2024-11-01T10:15:00,PT3H15M
153,2841.1,IB,BER,MAD,2024-11-01T07:00:00,2024-11-01T10:15:00,PT3H15M
